,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
188,189,,Denmark,1621603255000.0,56.2639,9.5018,271908,255624,2506,13778,,,Denmark
189,190,Faroe Islands,Denmark,1621603255000.0,61.8926,-6.9118,671,667,1,3,,,"Faroe Islands, Denmark"
190,191,Greenland,Denmark,1621603255000.0,71.7069,-42.6043,34,32,0,2,,,"Greenland, Denmark"
191,192,,Diamond Princess,1621603255000.0,,,712,699,13,0,,,Diamond Princess
192,193,,Djibouti,1621603255000.0,11.8251,42.5903,11485,11305,152,28,,,Djibouti
193,194,,Dominica,1621603255000.0,15.415,-61.371,184,176,0,8,,,Dominica
194,195,,Dominican Republic,1621603255000.0,18.7357,-70.1627,280994,235284,3600,42110,,,Dominican Republic
195,196,,Ecuador,1621603255000.0,-1.8312,-78.1834,415255,354499,20022,40734,,,Ecuador
196,197,,Egypt,1621603255000.0,26.820553,30.802498,250391,184373,14559,51459,,,Egypt
197,198,,El Salvador,1621603255000.0,13.7942,-88.8965,72220,67510,2206,2504,,,El Salvador
198,199,,Equatorial Guinea,1621603255000.0,1.6508,10.2679,8436,7801,113,522,,,Equatorial Guinea
199,200,,Eritrea,1621603255000.0,15.1794,39.7823,3906,3700,14,192,,,Eritrea
200,201,,Estonia,1621603255000.0,58.5953,25.0136,128309,120140,1239,6930,,,Estonia
201,202,,Eswatini,1621603255000.0,-26.5225,31.4659,18539,17819,672,48,,,Eswatini
202,203,,Ethiopia,1621603255000.0,9.145,40.4897,268035,223993,4048,39994,,,Ethiopia
203,204,,Fiji,1621603255000.0,-17.7134,178.065,195,129,4,62,,,Fiji
204,205,,Finland,1621603255000.0,61.92411,25.748151,91157,46000,929,44228,,,Finland
205,206,,France,1621603255000.0,46.2276,2.2137,5863138,324444,107390,5080923,,,France
206,207,French Guiana,France,1621603255000.0,4.0,-53.0,22115,9995,110,12010,,,"French Guiana, France"
207,208,French Polynesia,France,1621603255000.0,-17.6797,-149.4068,18841,18661,141,39,,,"French Polynesia, France"
208,209,Guadeloupe,France,1621603255000.0,16.265,-61.551,16079,2250,245,13584,,,"Guadeloupe, France"
209,210,Martinique,France,1621603255000.0,14.6415,-61.0242,11669,98,90,11481,,,"Martinique, France"
210,211,Mayotte,France,1621603255000.0,-12.8275,45.166244,20176,2964,171,17041,,,"Mayotte, France"
211,212,New Caledonia,France,1621603255000.0,-20.904305,165.618042,125,58,0,67,,,"New Caledonia, France"
212,213,Reunion,France,1621603255000.0,-21.1151,55.5364,23566,21709,176,1681,,,"Reunion, France"
213,214,Saint Barthelemy,France,1621603255000.0,17.9,-62.8333,1005,462,1,542,,,"Saint Barthelemy, France"
214,215,Saint Pierre and Miquelon,France,1621603255000.0,46.8852,-56.3159,25,25,0,0,,,"Saint Pierre and Miquelon, France"
215,216,St Martin,France,1621603255000.0,18.0708,-63.0501,1915,1399,12,504,,,"St Martin, France"
216,217,Wallis and Futuna,France,1621603255000.0,-14.2938,-178.1165,445,436,7,2,,,"Wallis and Futuna, France"
217,218,,Gabon,1621603255000.0,-0.8037,11.6094,24039,20759,147,3133,,,Gabon
218,219,,Gambia,1621603255000.0,13.4432,-15.3101,5968,5727,175,66,,,Gambia
219,220,,Georgia,1621603255000.0,42.3154,43.3569,335769,316389,4569,14811,,,Georgia
220,221,Baden-Wurttemberg,Germany,1621603255000.0,48.6616,9.3501,484697,448800,9811,26086,,,"Baden-Wurttemberg, Germany"
221,222,Bayern,Germany,1621603255000.0,48.7904,11.4979,631981,591100,14742,26139,,,"Bayern, Germany"
222,223,Berlin,Germany,1621603255000.0,52.52,13.405,176767,168900,3422,4445,,,"Berlin, Germany"
223,224,Brandenburg,Germany,1621603255000.0,52.4125,12.5316,107425,99700,3693,4032,,,"Brandenburg, Germany"
224,225,Bremen,Germany,1621603255000.0,53.0793,8.8017,26778,25710,471,597,,,"Bremen, Germany"
225,226,Hamburg,Germany,1621603255000.0,53.5511,9.9937,75582,69800,1541,4241,,,"Hamburg, Germany"
226,227,Hessen,Germany,1621603255000.0,50.6521,9.1624,282450,259600,7199,15651,,,"Hessen, Germany"
227,228,Mecklenburg-Vorpommern,Germany,1621603255000.0,53.6127,12.4296,43535,40700,1103,1732,,,"Mecklenburg-Vorpommern, Germany"
228,229,Niedersachsen,Germany,1621603255000.0,52.6367,9.8451,254959,241000,5548,8411,,,"Niedersachsen, Germany"
229,230,Nordrhein-Westfalen,Germany,1621603255000.0,51.4332,7.6616,794195,735500,16446,42249,,,"Nordrhein-Westfalen, Germany"
230,231,Rheinland-Pfalz,Germany,1621603255000.0,50.1183,7.309,150966,140300,3694,6972,,,"Rheinland-Pfalz, Germany"
231,232,Saarland,Germany,1621603255000.0,49.3964,7.023,40148,37600,991,1557,,,"Saarland, Germany"
232,233,Sachsen,Germany,1621603255000.0,51.1045,13.2017,281312,254000,9542,17770,,,"Sachsen, Germany"
233,234,Sachsen-Anhalt,Germany,1621603255000.0,51.9503,11.6923,97553,88990,3282,5281,,,"Sachsen-Anhalt, Germany"
234,235,Schleswig-Holstein,Germany,1621603255000.0,54.2194,9.6961,62237,58400,1573,2264,,,"Schleswig-Holstein, Germany"
235,236,Thuringen,Germany,1621603255000.0,51.011,10.8453,125984,116000,4134,5850,,,"Thuringen, Germany"
